Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.
2610,A,CRISTIANO RONALDO,Juventus,49,49,0
785,A,IMMOBILE,Lazio,41,41,0
277,A,ICARDI,Inter,39,39,0
309,A,DYBALA,Juventus,36,36,0
647,A,DZEKO,Roma,35,35,0
408,A,HIGUAIN,Milan,33,33,0
410,A,MERTENS,Napoli,31,31,0
645,C,MILINKOVIC-SAVIC,Lazio,30,30,0
441,A,BELOTTI,Torino,29,29,0
704,C,PERISIC,Inter,28,28,0
568,A,QUAGLIARELLA,Sampdoria,28,28,0
2085,C,LUIS ALBERTO,Lazio,27,27,0
409,A,INSIGNE,Napoli,27,27,0
177,C,ILICIC,Atalanta,26,26,0
2012,A,MILIK,Napoli,26,26,0
2061,A,SIMEONE,Fiorentina,26,26,0
608,A,ZAPATA D,Atalanta,26,26,0
467,C,NAINGGOLAN,Inter,25,25,0
475,A,IAGO FALQUE,Torino,25,25,0
2267,A,ANTENUCCI,SPAL,25,25,0
2200,C,DOUGLAS COSTA,Juventus,24,24,0
2002,C,CHIESA,Fiorentina,23,23,0
26,A,GOMEZ A,Atalanta,23,23,0
90,A,LASAGNA,Udinese,22,22,0
2194,C,CALHANOGLU,Milan,21,21,0
2378,C,PASTORE,Roma,21,21,0
2201,A,UNDER,Roma,21,21,0
406,A,CALLEJON,Napoli,21,21,0
375,A,SUSO,Milan,21,21,0
469,C,PJANIC,Juventus,20,20,0
367,C,BONAVENTURA,Milan,20,20,0
771,C,BOATENG,Sassuolo,20,20,0
643,A,DEFREL,Sampdoria,20,20,0
2504,C,CAN ,Juventus,19,19,0
453,P,SZCZESNY,Juventus,18,18,0
697,C,CUADRADO,Juventus,18,18,0
299,C,KHEDIRA,Juventus,18,18,0
376,C,VERDI,Napoli,18,18,0
779,C,CRISTANTE,Roma,18,18,0
2779,A,KLUIVERT,Roma,18,18,0
312,A,MANDZUKIC,Juventus,18,18,0
2214,D,KOLAROV,Roma,17,17,0
392,D,KOULIBALY,Napoli,17,17,0
662,D,ALEX SANDRO,Juventus,17,17,0
322,D,DE VRIJ,Inter,17,17,0
2215,C,VERETOUT,Fiorentina,17,17,0
397,C,ALLAN,Napoli,17,17,0
1974,A,SCHICK,Roma,17,17,0
2155,A,CUTRONE,Milan,17,17,0
2764,A,MARTINEZ L,Inter,17,17,0
247,A,PAVOLETTI,Cagliari,17,17,0
250,P,HANDANOVIC,Inter,16,16,0
798,D,SKRINIAR,Inter,16,16,0
788,C,FREULER,Atalanta,16,16,0
265,C,BROZOVIC,Inter,16,16,0
184,C,BERNARDESCHI,Juventus,16,16,0
237,C,PEROTTI,Roma,16,16,0
531,A,BERARDI,Sassuolo,16,16,0
795,A,EL SHAARAWY,Roma,16,16,0
1998,A,PJACA,Fiorentina,16,16,0
532,A,FALCINELLI,Bologna,16,16,0
2306,C,MATUIDI,Juventus,15,15,0
402,C,HAMSIK,Napoli,15,15,0
1987,C,JANKTO,Sampdoria,15,15,0
2172,C,BARAK,Udinese,15,15,0
1996,C,DE PAUL,Udinese,15,15,0
383,A,PETAGNA,SPAL,15,15,0
652,A,KALINIC,Milan,15,15,0
536,A,POLITANO,Inter,15,15,0
572,P,MERET,Napoli,14,14,0
2836,P,OLSEN,Roma,14,14,0
523,D,VRSALJKO,Inter,14,14,0
487,D,DE SILVESTRI,Torino,14,14,0
464,D,FLORENZI,Roma,14,14,0
2310,D,CANCELO,Juventus,14,14,0
15,D,MASIELLO A,Atalanta,14,14,0
