CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Squadra
GOLLINI,P,Por,14,14,//www.fantacalcio.it/squadre/Atalanta/GOLLINI/610,Atalanta
SPORTIELLO,P,Por,1,1,//www.fantacalcio.it/squadre/Atalanta/SPORTIELLO/4,Atalanta
ROSSI F,P,Por,1,1,//www.fantacalcio.it/squadre/Atalanta/ROSSI-F/2297,Atalanta
DJIMSITI,D,Dc,8,8,//www.fantacalcio.it/squadre/Atalanta/DJIMSITI/787,Atalanta
MASIELLO A,D,,7,7,//www.fantacalcio.it/squadre/Atalanta/MASIELLO-A/15,Atalanta
TOLOI,D,Dc,10,10,//www.fantacalcio.it/squadre/Atalanta/TOLOI/695,Atalanta
SKRTEL,D,Dc,8,8,//www.fantacalcio.it/squadre/Atalanta/SKRTEL/4516,Atalanta
CASTAGNE,D,E,14,14,//www.fantacalcio.it/squadre/Atalanta/CASTAGNE/2197,Atalanta
IBANEZ,D,Dc,2,2,//www.fantacalcio.it/squadre/Atalanta/IBANEZ/4331,Atalanta
RECA,D,,4,4,//www.fantacalcio.it/squadre/Atalanta/RECA/2739,Atalanta
HATEBOER,D,E,16,16,//www.fantacalcio.it/squadre/Atalanta/HATEBOER/2130,Atalanta
PALOMINO,D,Dc,9,9,//www.fantacalcio.it/squadre/Atalanta/PALOMINO/2181,Atalanta
GOSENS,D,E,15,15,//www.fantacalcio.it/squadre/Atalanta/GOSENS/2160,Atalanta
OKOLI,D,Dc,1,1,//www.fantacalcio.it/squadre/Atalanta/OKOLI/4432,Atalanta
VARNIER,D,Dc,3,3,//www.fantacalcio.it/squadre/Atalanta/VARNIER/2740,Atalanta
FREULER,C,C,13,13,//www.fantacalcio.it/squadre/Atalanta/FREULER/788,Atalanta
PESSINA,C,C,3,3,//www.fantacalcio.it/squadre/Atalanta/PESSINA/2741,Atalanta
DE ROON,C,,11,11,//www.fantacalcio.it/squadre/Atalanta/DE-ROON/22,Atalanta
PASALIC,C,,9,9,//www.fantacalcio.it/squadre/Atalanta/PASALIC/2077,Atalanta
COLLEY E,C,,1,1,//www.fantacalcio.it/squadre/Atalanta/COLLEY-E/4435,Atalanta
MALINOVSKYI,C,,11,11,//www.fantacalcio.it/squadre/Atalanta/MALINOVSKYI/4427,Atalanta
GOMEZ A,C,,26,26,//www.fantacalcio.it/squadre/Atalanta/GOMEZ-A/26,Atalanta
VALZANIA,C,C,5,5,//www.fantacalcio.it/squadre/Atalanta/VALZANIA/2742,Atalanta
ILICIC,A,A,25,25,//www.fantacalcio.it/squadre/Atalanta/ILICIC/177,Atalanta
CAMBIAGHI,A,A,1,1,//www.fantacalcio.it/squadre/Atalanta/CAMBIAGHI/4436,Atalanta
ZAPATA D,A,Pc,36,36,//www.fantacalcio.it/squadre/Atalanta/ZAPATA-D/608,Atalanta
BARROW,A,Pc,9,9,//www.fantacalcio.it/squadre/Atalanta/BARROW/2719,Atalanta
PICCOLI,A,Pc,1,1,//www.fantacalcio.it/squadre/Atalanta/PICCOLI/4359,Atalanta
MURIEL,A,Pc,17,17,//www.fantacalcio.it/squadre/Atalanta/MURIEL/507,Atalanta
DA COSTA,P,Por,1,1,//www.fantacalcio.it/squadre/Bologna/DA-COSTA/40,Bologna
SKORUPSKI,P,Por,9,9,//www.fantacalcio.it/squadre/Bologna/SKORUPSKI/133,Bologna
SARR M,P,Por,1,1,//www.fantacalcio.it/squadre/Bologna/SARR-M/42,Bologna
CALABRESI,D,,4,4,//www.fantacalcio.it/squadre/Bologna/CALABRESI/2745,Bologna
DIJKS,D,,8,8,//www.fantacalcio.it/squadre/Bologna/DIJKS/2746,Bologna
BANI,D,Dc,5,5,//www.fantacalcio.it/squadre/Bologna/BANI/2285,Bologna
DENSWIL,D,,7,7,//www.fantacalcio.it/squadre/Bologna/DENSWIL/4414,Bologna
TOMIYASU,D,,4,4,//www.fantacalcio.it/squadre/Bologna/TOMIYASU/4422,Bologna
DANILO LAR,D,Dc,8,8,//www.fantacalcio.it/squadre/Bologna/DANILO-LAR/578,Bologna
PAZ,D,,1,1,//www.fantacalcio.it/squadre/Bologna/PAZ/2747,Bologna
CORBO,D,Dc,1,1,//www.fantacalcio.it/squadre/Bologna/CORBO/4365,Bologna
MBAYE,D,,5,5,//www.fantacalcio.it/squadre/Bologna/MBAYE/50,Bologna
DZEMAILI,C,,8,8,//www.fantacalcio.it/squadre/Bologna/DZEMAILI/713,Bologna
POLI,C,,9,9,//www.fantacalcio.it/squadre/Bologna/POLI/374,Bologna
KREJCI,C,E,3,3,//www.fantacalcio.it/squadre/Bologna/KREJCI/1858,Bologna
SVANBERG,C,C,3,3,//www.fantacalcio.it/squadre/Bologna/SVANBERG/2744,Bologna
KINGSLEY,C,,2,2,//www.fantacalcio.it/squadre/Bologna/KINGSLEY/2835,Bologna
SORIANO,C,T,14,14,//www.fantacalcio.it/squadre/Bologna/SORIANO/2625,Bologna
FALLETTI,C,T,1,1,//www.fantacalcio.it/squadre/Bologna/FALLETTI/2210,Bologna
SCHOUTEN,C,,4,4,//www.fantacalcio.it/squadre/Bologna/SCHOUTEN/4393,Bologna
CANGIANO,A,A,1,1,//www.fantacalcio.it/squadre/Bologna/CANGIANO/4483,Bologna
DESTRO,A,Pc,19,19,//www.fantacalcio.it/squadre/Bologna/DESTRO/472,Bologna
PALACIO,A,A,13,13,//www.fantacalcio.it/squadre/Bologna/PALACIO/280,Bologna
ORSOLINI,A,,17,17,//www.fantacalcio.it/squadre/Bologna/ORSOLINI/2167,Bologna
SKOV OLSEN,A,A,8,8,//www.fantacalcio.it/squadre/Bologna/SKOV-OLSEN/4415,Bologna
JUWARA,A,A,1,1,//www.fantacalcio.it/squadre/Bologna/JUWARA/4368,Bologna
SANTANDER,A,Pc,12,12,//www.fantacalcio.it/squadre/Bologna/SANTANDER/2743,Bologna
FALCINELLI,A,Pc,6,6,//www.fantacalcio.it/squadre/Bologna/FALCINELLI/532,Bologna
SANSONE N,A,A,12,12,//www.fantacalcio.it/squadre/Bologna/SANSONE-N/537,Bologna
ALFONSO,P,Por,1,1,//www.fantacalcio.it/squadre/Brescia/ALFONSO/4440,Brescia
JORONEN,P,Por,6,6,//www.fantacalcio.it/squadre/Brescia/JORONEN/4425,Brescia
ANDRENACCI,P,Por,1,1,//www.fantacalcio.it/squadre/Brescia/ANDRENACCI/4441,Brescia
CISTANA,D,,7,7,//www.fantacalcio.it/squadre/Brescia/CISTANA/4442,Brescia
MARTELLA,D,,6,6,//www.fantacalcio.it/squadre/Brescia/MARTELLA/1896,Brescia
CHANCELLOR,D,Dc,5,5,//www.fantacalcio.it/squadre/Brescia/CHANCELLOR/4429,Brescia
MANGRAVITI,D,Dc,1,1,//www.fantacalcio.it/squadre/Brescia/MANGRAVITI/4504,Brescia
SEMPRINI,D,,2,2,//www.fantacalcio.it/squadre/Brescia/SEMPRINI/4444,Brescia
MAGNANI,D,Dc,6,6,//www.fantacalcio.it/squadre/Brescia/MAGNANI/2769,Brescia
GASTALDELLO,D,Dc,3,3,//www.fantacalcio.it/squadre/Brescia/GASTALDELLO/47,Brescia
SABELLI,D,,6,6,//www.fantacalcio.it/squadre/Brescia/SABELLI/791,Brescia
CURCIO,D,,2,2,//www.fantacalcio.it/squadre/Brescia/CURCIO/4443,Brescia
MATEJU,D,,5,5,//www.fantacalcio.it/squadre/Brescia/MATEJU/4373,Brescia
BISOLI,C,,9,9,//www.fantacalcio.it/squadre/Brescia/BISOLI/4445,Brescia
SPALEK,C,T,8,8,//www.fantacalcio.it/squadre/Brescia/SPALEK/4448,Brescia
ZMRHAL,C,,7,7,//www.fantacalcio.it/squadre/Brescia/ZMRHAL/4513,Brescia
NDOJ,C,C,7,7,//www.fantacalcio.it/squadre/Brescia/NDOJ/4447,Brescia
VIVIANI M,C,,1,1,//www.fantacalcio.it/squadre/Brescia/VIVIANI-M/4451,Brescia
MOROSINI,C,,8,8,//www.fantacalcio.it/squadre/Brescia/MOROSINI/2106,Brescia
TREMOLADA,C,T,1,1,//www.fantacalcio.it/squadre/Brescia/TREMOLADA/4450,Brescia
DESSENA,C,,4,4,//www.fantacalcio.it/squadre/Brescia/DESSENA/1872,Brescia
TONALI,C,,6,6,//www.fantacalcio.it/squadre/Brescia/TONALI/4449,Brescia
AYE',A,Pc,7,7,//www.fantacalcio.it/squadre/Brescia/AYE/4413,Brescia
TORREGROSSA,A,Pc,13,13,//www.fantacalcio.it/squadre/Brescia/TORREGROSSA/4453,Brescia
DONNARUMMA AL,A,Pc,16,16,//www.fantacalcio.it/squadre/Brescia/DONNARUMMA-AL/4452,Brescia
BALOTELLI,A,Pc,19,19,//www.fantacalcio.it/squadre/Brescia/BALOTELLI/696,Brescia
ARESTI,P,Por,1,1,//www.fantacalcio.it/squadre/Cagliari/ARESTI/1946,Cagliari
RAFAEL,P,Por,1,1,//www.fantacalcio.it/squadre/Cagliari/RAFAEL/611,Cagliari
CRAGNO,P,Por,11,11,//www.fantacalcio.it/squadre/Cagliari/CRAGNO/2178,Cagliari
CEPPITELLI,D,Dc,7,7,//www.fantacalcio.it/squadre/Cagliari/CEPPITELLI/1866,Cagliari
PINNA,D,,1,1,//www.fantacalcio.it/squadre/Cagliari/PINNA/4454,Cagliari
CACCIATORE,D,,7,7,//www.fantacalcio.it/squadre/Cagliari/CACCIATORE/99,Cagliari
MATTIELLO,D,,5,5,//www.fantacalcio.it/squadre/Cagliari/MATTIELLO/106,Cagliari
WALUKIEWICZ,D,Dc,3,3,//www.fantacalcio.it/squadre/Cagliari/WALUKIEWICZ/4374,Cagliari
LYKOGIANNIS,D,,4,4,//www.fantacalcio.it/squadre/Cagliari/LYKOGIANNIS/2653,Cagliari
ROMAGNA,D,Dc,5,5,//www.fantacalcio.it/squadre/Cagliari/ROMAGNA/2279,Cagliari
PELLEGRINI LU,D,,6,6,//www.fantacalcio.it/squadre/Cagliari/PELLEGRINI-LU/2728,Cagliari
KLAVAN,D,Dc,6,6,//www.fantacalcio.it/squadre/Cagliari/KLAVAN/2871,Cagliari
PISACANE,D,,4,4,//www.fantacalcio.it/squadre/Cagliari/PISACANE/1869,Cagliari
