CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
GOLLINI,P,Por,14,14,//www.fantacalcio.it/squadre/Atalanta/GOLLINI/610,2019,Atalanta,Gollini Pierluigi,Italia,18/03/1995,188,80
SPORTIELLO,P,Por,1,1,//www.fantacalcio.it/squadre/Atalanta/SPORTIELLO/4,2019,Atalanta,Sportiello Marco,Italia,10/05/1992,192,87
ROSSI F,P,Por,1,1,//www.fantacalcio.it/squadre/Atalanta/ROSSI-F/2297,2019,Atalanta,Rossi Francesco,Italia,27/04/1991,193,
DJIMSITI,D,Dc,8,8,//www.fantacalcio.it/squadre/Atalanta/DJIMSITI/787,2019,Atalanta,Djimsiti Berat,"Albania, Svizzera",16/02/1993,190,83
MASIELLO A,D,,7,7,//www.fantacalcio.it/squadre/Atalanta/MASIELLO-A/15,2019,Atalanta,Masiello Andrea,Italia,05/02/1986,185,82
TOLOI,D,Dc,10,10,//www.fantacalcio.it/squadre/Atalanta/TOLOI/695,2019,Atalanta,Toloi Rafael,"Brasile, Italia",10/10/1990,185,75
SKRTEL,D,Dc,8,8,//www.fantacalcio.it/squadre/Atalanta/SKRTEL/4516,2019,Atalanta,Skrtel Martin,Slovacchia,15/12/1984,191,
CASTAGNE,D,E,14,14,//www.fantacalcio.it/squadre/Atalanta/CASTAGNE/2197,2019,Atalanta,Castagne Timothy,Belgio,05/12/1995,185,
IBANEZ,D,Dc,2,2,//www.fantacalcio.it/squadre/Atalanta/IBANEZ/4331,2019,Atalanta,Ibanez Roger,"Brasile, Uruguay",23/11/1998,185,
RECA,D,,4,4,//www.fantacalcio.it/squadre/Atalanta/RECA/2739,2019,Atalanta,Reca Arkadiusz,Polonia,17/06/1995,187,
HATEBOER,D,E,16,16,//www.fantacalcio.it/squadre/Atalanta/HATEBOER/2130,2019,Atalanta,Hateboer Hans,Olanda,09/01/1994,187,72
PALOMINO,D,Dc,9,9,//www.fantacalcio.it/squadre/Atalanta/PALOMINO/2181,2019,Atalanta,Palomino Josè Luis,Argentina,05/01/1990,187,
GOSENS,D,E,15,15,//www.fantacalcio.it/squadre/Atalanta/GOSENS/2160,2019,Atalanta,Gosens Robin,"Germania, Olanda",05/07/1994,184,
OKOLI,D,Dc,1,1,//www.fantacalcio.it/squadre/Atalanta/OKOLI/4432,2019,Atalanta,Okoli Caleb,Nigeria,13/07/2001,189,
VARNIER,D,Dc,3,3,//www.fantacalcio.it/squadre/Atalanta/VARNIER/2740,2019,Atalanta,Varnier Marco,Italia,08/06/1998,186,
FREULER,C,C,13,13,//www.fantacalcio.it/squadre/Atalanta/FREULER/788,2019,Atalanta,Freuler Remo,Svizzera,15/04/1992,181,77
PESSINA,C,C,3,3,//www.fantacalcio.it/squadre/Atalanta/PESSINA/2741,2019,Atalanta,Pessina Matteo,Italia,21/04/1997,183,
DE ROON,C,,11,11,//www.fantacalcio.it/squadre/Atalanta/DE-ROON/22,2019,Atalanta,De Roon Marten,Olanda,29/03/1991,185,
PASALIC,C,,9,9,//www.fantacalcio.it/squadre/Atalanta/PASALIC/2077,2019,Atalanta,Pasalic Mario,Croazia,09/02/1995,189,82
COLLEY E,C,,1,1,//www.fantacalcio.it/squadre/Atalanta/COLLEY-E/4435,2019,Atalanta,Colley Ebrima,Gambia,01/02/2000,175,
MALINOVSKYI,C,,11,11,//www.fantacalcio.it/squadre/Atalanta/MALINOVSKYI/4427,2019,Atalanta,Malinovskyi Ruslan,Ucraina,04/05/1993,181,
GOMEZ A,C,,26,26,//www.fantacalcio.it/squadre/Atalanta/GOMEZ-A/26,2019,Atalanta,Gomez Alejandro,Argentina,15/02/1988,165,68
VALZANIA,C,C,5,5,//www.fantacalcio.it/squadre/Atalanta/VALZANIA/2742,2019,Atalanta,Valzania Luca,Italia,05/03/1996,184,
ILICIC,A,A,25,25,//www.fantacalcio.it/squadre/Atalanta/ILICIC/177,2019,Atalanta,Ilicic Josip,Slovenia,29/01/1988,190,79
CAMBIAGHI,A,A,1,1,//www.fantacalcio.it/squadre/Atalanta/CAMBIAGHI/4436,2019,Atalanta,Cambiaghi Nicolò,Italia,28/12/2000,173,
ZAPATA D,A,Pc,36,36,//www.fantacalcio.it/squadre/Atalanta/ZAPATA-D/608,2019,Atalanta,Zapata Duvan,Colombia,01/04/1991,189,
BARROW,A,Pc,9,9,//www.fantacalcio.it/squadre/Atalanta/BARROW/2719,2019,Atalanta,Barrow Musa,Gambia,14/11/1998,180,
PICCOLI,A,Pc,1,1,//www.fantacalcio.it/squadre/Atalanta/PICCOLI/4359,2019,Atalanta,Piccoli Roberto,Italia,27/01/2001,183,
MURIEL,A,Pc,17,17,//www.fantacalcio.it/squadre/Atalanta/MURIEL/507,2019,Atalanta,Muriel Luis,Colombia,16/04/1991,179,79
DA COSTA,P,Por,1,1,//www.fantacalcio.it/squadre/Bologna/DA-COSTA/40,2019,Bologna,Da Costa Angelo,Brasile,12/11/1983,186,81
SKORUPSKI,P,Por,9,9,//www.fantacalcio.it/squadre/Bologna/SKORUPSKI/133,2019,Bologna,Skorupski Lukasz,Polonia,05/05/1991,187,
SARR M,P,Por,1,1,//www.fantacalcio.it/squadre/Bologna/SARR-M/42,2019,Bologna,Sarr Mouhamadou,"Senegal, Italia",05/01/1997,190,78
CALABRESI,D,,4,4,//www.fantacalcio.it/squadre/Bologna/CALABRESI/2745,2019,Bologna,Calabresi Arturo,Italia,17/03/1996,186,
DIJKS,D,,8,8,//www.fantacalcio.it/squadre/Bologna/DIJKS/2746,2019,Bologna,Dijks Mitchell,Olanda,09/02/1993,194,
BANI,D,Dc,5,5,//www.fantacalcio.it/squadre/Bologna/BANI/2285,2019,Bologna,Bani Mattia,Italia,10/12/1993,188,
