Season,Grade_Type,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
2017-18,Italia,P,RADUNOVIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,SPORTIELLO,Fiorentina,37,6.05,5.08,0,38,1,0,0,0,0,0,0,1,0
2017-18,Italia,D,BRIVIO,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CHERUBIN,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CONTI,Milan,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,DRAME',SPAL,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,MASIELLO A,Atalanta,31,6.29,6.6,4,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,C,CIGARINI,Cagliari,26,5.87,5.83,2,0,0,1,0,1,0,3,12,1,0
2017-18,Italia,C,D'ALESSANDRO,Benevento,15,6.13,6.37,1,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,C,DE ROON,Atalanta,33,6.02,6.11,2,0,0,2,1,1,2,0,8,1,0
2017-18,Italia,A,GOMEZ A,Atalanta,33,6.29,6.98,4,0,0,3,2,1,7,2,2,0,0
2017-18,Italia,C,GRASSI,SPAL,28,6.07,6.34,3,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,C,KURTIC,SPAL,29,5.72,5.91,3,0,0,0,0,0,0,0,7,0,0
2017-18,Italia,P,DA COSTA,Bologna,4,6.25,5,0,5,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,MIRANTE,Bologna,33,6.15,4.62,0,46,0,0,0,0,0,0,5,0,1
2017-18,Italia,D,FERRARI A,Verona,25,5.5,5.52,1,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,D,GASTALDELLO,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,MAIETTA,Bologna,7,6.07,6,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,MASINA,Bologna,34,5.65,5.53,0,0,0,0,0,0,1,0,8,1,0
2017-18,Italia,D,MBAYE,Bologna,24,5.77,5.71,1,0,0,0,0,0,0,0,3,1,1
2017-18,Italia,D,OIKONOMOU,SPAL,3,5.5,5.17,0,0,0,0,0,0,0,0,0,1,0
2017-18,Italia,D,ROSSETTINI,Genoa,23,5.83,5.67,0,0,0,0,0,0,0,0,7,0,0
